cluster,n,early_share
B000215,24,0.16666666666666666
B000216,19,0.21052631578947367
B000217,9,0.0
B000218,23,0.08695652173913043
B000219,8,0.25
B000220,13,0.07692307692307693
B000221,19,0.15789473684210525
B000222,15,0.0
B000223,15,0.2
B000224,18,0.2222222222222222
B000225,21,0.19047619047619047
B000226,16,0.1875
B000227,20,0.05
B000228,21,0.047619047619047616
B000229,18,0.05555555555555555
B000230,30,0.26666666666666666
B000231,24,0.125
B000232,21,0.3333333333333333
B000233,6,0.0
B000234,14,0.6428571428571429
B000235,21,0.14285714285714285
B000236,24,0.08333333333333333
B000237,23,0.34782608695652173
B000238,16,0.0
B000239,18,0.1111111111111111
B000240,29,0.2413793103448276
B000241,7,0.2857142857142857
B000242,21,0.14285714285714285
B000243,23,0.21739130434782608
B000244,19,0.3684210526315789
B000245,18,0.16666666666666666
B000246,21,0.2857142857142857
B000247,23,0.2608695652173913
B000248,14,0.21428571428571427
B000249,23,0.30434782608695654
B000250,19,0.10526315789473684
B000251,23,0.30434782608695654
B000252,20,0.25
B000253,19,0.15789473684210525
B000254,20,0.5
B000255,17,0.17647058823529413
B000256,27,0.4444444444444444
B000257,16,0.125
B000258,23,0.13043478260869565
B000259,22,0.36363636363636365
B000260,19,0.10526315789473684
B000261,8,0.375
B000262,8,0.125
B000263,12,0.5
B000264,21,0.14285714285714285
B000265,16,0.1875
B000266,15,0.06666666666666667
B000267,22,0.2727272727272727
B000268,20,0.4
B000269,22,0.18181818181818182
B000270,24,0.25
B000271,15,0.0
B000272,20,0.35
B000273,20,0.3
B000274,6,0.0
B000275,19,0.05263157894736842
B000276,21,0.3333333333333333
B000277,19,0.21052631578947367
B000278,23,0.13043478260869565
B000279,23,0.13043478260869565
B000280,18,0.2222222222222222
B000281,26,0.07692307692307693
B000282,24,0.20833333333333334
B000283,24,0.4166666666666667
B000284,15,0.13333333333333333
B000285,18,0.1111111111111111
B000286,18,0.1111111111111111
B000287,10,0.1
B000288,14,0.21428571428571427
B000289,8,0.625
B000290,16,0.25
B000291,9,0.3333333333333333
B000292,21,0.14285714285714285
B000293,8,0.625
B000294,22,0.2727272727272727
B000295,16,0.125
B000296,7,0.42857142857142855
B000297,21,0.19047619047619047
B000298,7,0.2857142857142857
B000299,8,0.125
B000300,14,0.14285714285714285
B000301,8,0.25
B000302,24,0.25
B000303,20,0.3
B000304,15,0.13333333333333333
B000305,22,0.09090909090909091
B000306,21,0.3333333333333333
B000307,20,0.1
B000308,7,0.14285714285714285
B000309,5,0.2
B000310,19,0.3684210526315789
B000311,19,0.2631578947368421
B000312,16,0.1875
B000313,21,0.19047619047619047
B000314,10,0.0
B000315,18,0.05555555555555555
B000316,20,0.3
B000317,20,0.15
B000318,23,0.2608695652173913
B000319,25,0.24
B000320,27,0.14814814814814814
B000321,26,0.34615384615384615
B000322,18,0.05555555555555555
B000323,20,0.1
B000324,22,0.09090909090909091
B000325,23,0.2608695652173913
B000326,21,0.2857142857142857
B000327,17,0.11764705882352941
B000328,20,0.2
B000329,17,0.23529411764705882
B000330,24,0.041666666666666664
B000331,18,0.16666666666666666
B000332,17,0.058823529411764705
B000333,18,0.16666666666666666
B000334,16,0.0625
B000335,18,0.2777777777777778
B000336,15,0.06666666666666667
B000337,25,0.24
B000338,22,0.45454545454545453
B000339,19,0.2631578947368421
B000340,9,0.2222222222222222
B000341,19,0.05263157894736842
B000342,26,0.15384615384615385
B000343,13,0.23076923076923078
B000344,17,0.0
B000345,21,0.09523809523809523
B000346,19,0.10526315789473684
B000347,23,0.043478260869565216
B000348,21,0.14285714285714285
B000349,20,0.2
B000350,21,0.23809523809523808
B000351,20,0.15
B000352,20,0.1
B000353,6,0.16666666666666666
B000354,24,0.16666666666666666
B000355,20,0.2
B000356,7,0.14285714285714285
B000357,23,0.34782608695652173
B000358,22,0.09090909090909091
B000359,23,0.21739130434782608
B000360,9,0.4444444444444444
B000361,21,0.23809523809523808
B000362,14,0.21428571428571427
B000363,21,0.19047619047619047
B000364,16,0.3125
B000365,18,0.2777777777777778
B000366,20,0.1
B000367,26,0.34615384615384615
B000368,23,0.17391304347826086
B000369,21,0.3333333333333333
B000370,17,0.11764705882352941
B000371,16,0.125
B000372,22,0.3181818181818182
B000373,23,0.2608695652173913
B000374,18,0.16666666666666666
B000375,17,0.17647058823529413
B000376,17,0.0
B000377,11,0.0
B000378,23,0.043478260869565216
B000379,18,0.2777777777777778
B000380,18,0.3333333333333333
B000381,15,0.0
B000382,17,0.4117647058823529
B000383,15,0.2
B000384,13,0.15384615384615385
B000385,23,0.391304347826087
B000386,7,0.2857142857142857
B000387,26,0.34615384615384615
B000388,20,0.35
B000389,20,0.2
B000390,9,0.6666666666666666
B000391,21,0.23809523809523808
B000392,17,0.17647058823529413
B000393,21,0.14285714285714285
B000394,18,0.1111111111111111
B000395,13,0.0
B000396,20,0.3
B000397,9,0.4444444444444444
B000398,17,0.17647058823529413
B000399,19,0.21052631578947367
B000400,19,0.15789473684210525
B000401,18,0.2777777777777778
B000402,26,0.2692307692307692
B000403,29,0.5517241379310345
B000404,18,0.3333333333333333
B000405,6,0.3333333333333333
B000406,21,0.19047619047619047
B000407,23,0.0
B000408,15,0.2
B000409,19,0.21052631578947367
B000410,20,0.1
B000411,10,0.2
B000412,9,0.1111111111111111
B000413,23,0.08695652173913043
B000414,17,0.23529411764705882
B000415,8,0.125
B000416,9,0.1111111111111111
B000417,20,0.2
B000418,16,0.125
B000419,17,0.17647058823529413
B000420,21,0.19047619047619047
B000421,17,0.058823529411764705
B000422,16,0.1875
B000423,8,0.25
B000424,8,0.375
B000425,22,0.22727272727272727
B000426,9,0.3333333333333333
B000427,18,0.2777777777777778
B000428,23,0.2608695652173913
B000429,21,0.23809523809523808
B000430,5,0.0
B000431,19,0.21052631578947367
B000432,20,0.3
B000433,18,0.16666666666666666
B000434,23,0.34782608695652173
B000435,18,0.3333333333333333
B000436,21,0.19047619047619047
B000437,18,0.2222222222222222
B000438,18,0.16666666666666666
B000439,7,0.14285714285714285
B000440,10,0.4
B000441,15,0.4
B000442,20,0.2
B000443,24,0.125
B000444,27,0.1111111111111111
B000445,20,0.1
B000446,16,0.25
B000447,17,0.17647058823529413
B000448,23,0.2608695652173913
B000449,26,0.19230769230769232
B000450,24,0.4166666666666667
B000451,21,0.23809523809523808
B000452,24,0.3333333333333333
B000453,20,0.55
B000454,19,0.42105263157894735
B000455,19,0.0
B000456,26,0.23076923076923078
B000457,14,0.21428571428571427
B000458,22,0.045454545454545456
B000459,12,0.25
B000460,13,0.15384615384615385
B000461,26,0.23076923076923078
B000462,23,0.43478260869565216
B000463,23,0.08695652173913043
B000464,18,0.05555555555555555
B000465,7,0.14285714285714285
B000466,24,0.25
B000467,27,0.2962962962962963
B000468,9,0.0
B000469,21,0.19047619047619047
B000470,20,0.2
B000471,20,0.15
B000472,30,0.23333333333333334
B000473,18,0.2222222222222222
B000474,13,0.07692307692307693
B000475,12,0.08333333333333333
B000476,8,0.375
B000477,20,0.3
B000478,25,0.24
B000479,15,0.26666666666666666
B000480,11,0.2727272727272727
B000481,27,0.14814814814814814
B000482,20,0.15
B000483,20,0.3
B000484,27,0.07407407407407407
B000485,21,0.14285714285714285
B000486,14,0.35714285714285715
B000487,14,0.07142857142857142
B000488,23,0.43478260869565216
B000489,17,0.35294117647058826
B000490,19,0.15789473684210525
B000491,22,0.22727272727272727
B000492,19,0.21052631578947367
B000493,24,0.25
B000494,17,0.35294117647058826
B000495,11,0.09090909090909091
B000496,22,0.09090909090909091
B000497,13,0.15384615384615385
B000498,26,0.11538461538461539
B000499,23,0.21739130434782608
B000500,22,0.13636363636363635
